event_date,transactions,dogecoin,intervention
2023-07-31,7348573,1,1
2023-08-31,7537981,1,1
2023-09-30,1550902,1,1
2023-10-31,1137456,1,1
2023-11-30,15050429,1,1
2023-12-31,30987030,1,1
2024-01-31,16351394,1,1
2024-02-29,48093668,1,1
2024-03-31,8428117,1,1
2024-04-30,13763933,1,1
2024-05-31,5848324,1,1
2024-06-30,5440192,1,1
2024-07-31,4564304,1,1
2024-08-31,2979113,1,1
2024-09-30,5057906,1,1
2024-10-31,8106640,1,1
2024-11-30,9108855,1,1
2015-08-31,85609,0,0
2015-09-30,173805,0,0
2015-10-31,205045,0,0
2015-11-30,234733,0,0
2015-12-31,347092,0,0
2016-01-31,404816,0,0
2016-02-29,520040,0,0
2016-03-31,917170,0,0
2016-04-30,1023096,0,0
2016-05-31,1346796,0,0
2016-06-30,1351536,0,0
2016-07-31,1356907,0,0
2016-08-31,1405743,0,0
2016-09-30,1387412,0,0
2016-10-31,1329847,0,0
2016-11-30,1301586,0,0
2016-12-31,1316131,0,0
2017-01-31,1409664,0,0
2017-02-28,1410048,0,0
2017-03-31,2426471,0,0
2017-04-30,2539966,0,0
2017-05-31,4245516,0,0
2017-06-30,7244657,0,0
2017-07-31,7835875,0,0
2017-08-31,10523178,0,0
2017-09-30,10679242,0,0
2017-10-31,12602063,0,0
2017-11-30,15292269,0,0
2017-12-31,26732085,0,0
2018-01-31,33504270,0,0
2018-02-28,22231978,0,0
2018-03-31,20261862,0,0
2018-04-30,20876642,0,0
2018-05-31,25105717,0,0
2018-06-30,22471788,0,0
2018-07-31,19937033,0,0
2018-08-31,19842059,0,0
2018-09-30,16056742,0,0
2018-10-31,17056926,0,0
2018-11-30,16713911,0,0
2018-12-31,17107601,0,0
2019-01-31,16569597,0,0
2019-02-28,13413899,0,0
2019-03-31,18029582,0,0
2019-04-30,19830158,0,0
2019-05-31,24332475,0,0
2019-06-30,25679653,0,0
2019-07-31,22892039,0,0
2019-08-31,22003889,0,0
2019-09-30,20465806,0,0
2019-10-31,20954629,0,0
2019-11-30,20388573,0,0
2019-12-31,18271815,0,0
2020-01-31,17703536,0,0
2020-02-29,19212778,0,0
2020-03-31,22748700,0,0
2020-04-30,23211389,0,0
2020-05-31,26648587,0,0
2020-06-30,28802843,0,0
2020-07-31,33896953,0,0
2020-08-31,36679836,0,0
2020-09-30,32848877,0,0
2020-10-31,33297049,0,0
2020-11-30,33785905,0,0
2020-12-31,35930517,0,0
2021-01-31,37490761,0,0
2021-02-28,35578516,0,0
2021-03-31,39236425,0,0
2021-04-30,41756227,0,0
2021-05-31,45055042,0,0
2021-06-30,36198196,0,0
2021-07-31,37469828,0,0
2021-08-31,37250450,0,0
2021-09-30,35609993,0,0
2021-10-31,38939449,0,0
2021-11-30,38922026,0,0
2021-12-31,38300450,0,0
2022-01-31,36851128,0,0
2022-02-28,32739456,0,0
2022-03-31,35990387,0,0
2022-04-30,33599569,0,0
2022-05-31,34955914,0,0
2022-06-30,31083501,0,0
2022-07-31,37174242,0,0
2022-08-31,34901614,0,0
2022-09-30,33739408,0,0
2022-10-31,34122529,0,0
2022-11-30,31271090,0,0
2022-12-31,32114430,0,0
2023-01-31,31861364,0,0
2023-02-28,29793399,0,0
2023-03-31,33108538,0,0
2023-04-30,30166979,0,0
2023-05-31,33518547,0,1
2023-06-30,31628242,0,1
2023-07-31,31474016,0,1
2023-08-31,31954474,0,1
2023-09-30,30490755,0,1
2023-10-31,31344189,0,1
2023-11-30,32567910,0,1
2023-12-31,35192238,0,1
2024-01-31,36015517,0,1
2024-02-29,32284937,0,1
2024-03-31,39151780,0,1
2024-04-30,36001242,0,1
2024-05-31,35834969,0,1
2024-06-30,35046833,0,1
2024-07-31,35491830,0,1
2024-08-31,33964686,0,1
2024-09-30,33858493,0,1
2024-10-31,35799578,0,1
2024-11-30,36691046,0,1
